1;116.46;39.92
2;117.2;39.13
3 ;121.48;31.22
4;106.54;29.59
5 ;91.11;29.97
6 ;87.68;43.77
7 ;106.27;38.47
8 ;111.65;40.82
9;108.33;22.84
10;126.63;45.75
11 ;125.35;43.88
12  ;123.38;41.8
13  ;114.48;38.03
14  ;112.53;37.87
15  ;101.74;36.56
16  ;117;36.65
17 ;113.6;34.76
18;118.78;32.04
19;117.27;31.86
20;120.19;30.26
21;119.3;26.08
22;115.89;28.68
23;113;28.21
24;114.31;30.52
25;113.23;23.16
26;121.5;25.05
27;110.35;20.02
28;103.73;36.03
29;108.95;34.27
30;104.06;30.67
31;106.71;26.57
32;102.73;25.04
33;114.1;22.2
34;113.33;22.13
